ITEMCODE,DESCR1,DESCR2,DESCR3,DESCR4,UNIT,PARTNO,EXCHAPTER,EXCHAPTERDESCR,ALTPARTNO,LOCATION,STKQTY,STKVALUE,STKRATE,LSUPPCODE,LPOYEAR,LPOSERIES,LPONUMBER,LSUPPRATE,LRECVDATE,LISSUDATE,AVGISUQTY,AVGISUVLU,CYROPNQTY,CYROPNVLU,LYRECPQTY,LYRECPVLU,LYRISUQTY,LYRISUVLU,MINSTK,MAXSTK,ABCLASS,VARIANCE,STATUS,USERID,ACTION,ACTIONDATE,CYRISUQTY,CYRISUVLU,LPODATE,ITEMTYPE
12201104,LABOUR CHARGES FOR LAYING 05mm THK-,EPOXY LINING TO RCC,ACID/ALKALI-RESISTANT,ALL DETAIL'S AS PER OUR-CIVIL ENGR INSTRUCTION'S COMPLETE,SF, , ,                    ,19208008, ,0,0,2.5,302I017,20062007,RP,38,17,26/05/2004,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,20/09/2006,  
19201594,CARBON{STATOR}/SILICON{ROTOR} FACE- ,DULY RECONDITIONED,WT FITTED REQUIRE NEW PART'S,ALL DETAIL'S AS PER OUR-ENGR'S INSTRUCTION'S,NO, , ,                    , , ,0,0,2000,302F052,20032004,RP,290,2000,31/03/2004,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,31/03/2004,  
19201477,SPINDLE INTERNAL BRASS,TEFLON WASHER,& BRASS SEAT IS TO BE NEW FITTED IN-,OLD VANAZ VALVE ALL DETAIL'S AS PER-OUR ENGR'S INSTRUCTION'S COMPLETE,NO, , ,                    , , ,0,0,270,302S240,20022003,RP,255,270,24/02/2003,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,19/02/2003,  
19202330,"ROTOR OF 40HP/1400RPM MOTOR ""KIRL.""-",BOTH SIDE COMPL.REBRAZING,& DYNAMIC-ALLY BALANCING,ALL DETAIL'S AS PER-OUR ELECT.ENGR'S INSTRUCTION'S ,NO, , ,                    , , ,0,0,2900,302R181,20032004,RP,17,2900,19/05/2003,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,24/04/2003,  
19202360,CARBON BRUSH HOLDER {OLD}'SIEMENS',TO BE REPAIR,WHOLE UNIT FOR 75 HP X ,0960 RPM MOTOR ALL DETAIL'S AS PER-OUR ELECT.ENGR'S INSRUCTION'S,NO, , ,                    , , ,0,0,900,302S343,20032004,RP,200,900,05/12/2003,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,05/12/2003,  
19203070,"FLOWMETER MAGNETIC SIZE:2"" REPARING",& CALIBRATION/SERVICING,WITH FITTED-,REQUIRE NEW PART'S ALL DETAIL'S AS-OUR INST.ENGR INSTRUCTION'S,NO, , ,                    , , ,0,0,0,302T102,20102011,RP,215,10900,14/03/2011,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,20/01/2011,  
19201534,SHAFT SS OF SS SIFTER MAIN REPAIR,TURINING/MACHINING/WELDING/TRUNESS-,ETC WORK'S TO BE DONE,ALL DETAIL'S-AS PER OUR ENGR'S INSTRUCTION'S.,NO, , ,                    , , ,0,0,5900,302H099,20032004,RP,154,5900,13/10/2003,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,10/10/2003,  
19201610,"VALVE BALL SS 2""X150 C,TWO PIECE'S- ",TO BE REPAIR WT FITTED REQUIRE NEW-,PART'S & IS TO BE TESTED AT 15KG/CM2,ALL DETAILS AS OUR ENGR'S INSTRUCT.,NO, , ,                    , , ,0,0,800,302D143,20042005,RP,39,800,19/05/2004,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,19/05/2004,  
19201105,"VALVE CONTROL 2"" DIA TO BE REPAIR -",WT ACTUATOR SEAL KIT,SPRING FOR 25 -SQ & BODY SEAL KIT,ALL OTHER DETAIL AS PER OUR ENGR'S INSTRUCTUON'S COMP,NO, , ,                    , , ,0,0,0, , , ,0,35275,01/12/2000,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,NULL,  
15202006,CONTROL PANEL FREE-STANDING,FLOOR -,MOUNTING FABRICATED FROM 14 SWG -CR SHEET,ALL OTHER DETAIL'S AS PER -LETTER ATTACHED HERE WITH COMPLETE,NO, , ,                    , , ,0,0,0, , , ,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,NULL,  
19201074,"VALVE PISTON 2"" DIA  REPARING",KLINGER MAKE,WITH HYDROLIC -TEST TO BE TAKE,ALL OTHER TECH.DETAIL'S AS PER OUR ENGR'S INSTRUCTI,NO, , ,                    , , ,0,0,0,302V087,20002001,RP,104,1950,11/10/2000,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,NULL,  
19201172,"VALVE BLOW- DOWN 2"" DIA REPARING -",FOR IBL-2,TO BE HYDROTESTING 30 KG/CM2,ALL OTHER TECH.DETAIL'S AS PER-OUR ENGR'S INSTRUCTION'S COMPLETE,NO, , ,                    , , ,0,0,3875,302V087,20012002,RP,6,3875,27/04/2001,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,19/04/2001,  
19201147,COLOUM OF ION EX.NO:03 REPARING,BY RUBBERLINED,HARDNESS 75 TO 80,SPARK TEST IS TO BE DONE ALL OTHER-COMPL.DETAIL'S AS PER ENGR'S INSTRU.,NO, , ,                    , , ,0,0,24925,302J111,20002001,RP,208,24925,11/07/2001,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,NULL,  
19201294,SCALE P.P. CAP.:300 KG'S,TOBE REPAIR,AVERY MAKE,WT COMPL.ACCESSORIOES-ALL OTHER'S DETAIL'S AS PER OUR ENGR INSTRUCTION'S COMPLETE,NO, , ,                    , , ,0,0,2213.5,302R055,20012002,RP,244,400,18/09/2002,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,16/01/2002,  
19201013,REPARING OF:SHAFT OF INCUBATOR -,NO:18,(TOP/BOTTOM SHAFT) AS PER,DRG.NO:505 ALL SCOPE OF WORK AS PER OUR ENGR'S INSTRUCTION'S COMPLETE,NO, , ,                    , , ,0,0,0,302S240,20002001,RP,45,11000,07/08/2000,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,NULL,  
19201195,SPINDLE (THREADED) SS 304 Q.REPARING,WITH FITTED BRASS NUT,AS PER OUR-,SAMPLE ALL TECH.DETAIL'S AS PER OUR-ENGR'S INSTRUCTION'S COMPLETE,NO, , ,                    , , ,0,0,350,302D143,20052006,RP,46,350,11/11/2005,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,13/10/2005,  
19209375,CABLE CHARGES FOR STOPPING OF OIL,LEAKING BY REPAIR 1NO HT,BUSHING, OIL SEAL GASKET SET FOR ALL THREE BUSHING ,NO, , ,                    , , ,0,0,0,302A402,20112012,WO,7,12000,NULL,NULL,0,0,0,0,0,0,0,0,0,0,A,0, ,EDP,ADD,24:41.0,0,0,18/04/2011,  
15201722,"VALVE BALL SS 304Q.1""DIA IN 3 PIECE-",SCREW END,FROM BAR-STOCK ,ALL WORKING PART'S IN SS 304Q.,NO, , ,                    , , ,0,0,498.75,302M028,20102011,CP,228,475,15/09/2010,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,13/09/2010,  
19201181,"VALVE BALLSS304Q.THREE PC 3""REPAIR",WITH FITTED REQUIRE SOME NEW -,SPARE'S,HYDRO TEST TO BE DONE ALL-DETAIL'S AS PER OUR ENGR'S INSTRUCTI,NO, , ,                    , , ,0,0,1102.25,302W030,20122013,RP,234,981,04/12/2012,NULL,1,484.1413043,0,0,9,10033,9,10033,0,0,A,20, , , ,NULL,1,1102.25,01/12/2012,  
19201301,FILTER M/C NO:02,HVC-1400 REPARING-,KNIFE POST RAM /MAINDOOR TOBE REPAIR,WT HARDENING/TEMPRING/25-30RL  ALL-DETAIL'S AS PER OUR ENGR'S INSTRUCTI,NO, , ,                    , , ,0,0,33000,302S533,20012002,RP,258,33000,30/01/2002,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,25/01/2002,  
19201330,BACK CLOSER OF KRUPPA'CLAVE-2 REPAIR,OLD BUSH TOBE REMAXED,DAMAGED PORTI-,ON WELDED BY SS 316 WELDING ROD  ALL-DETAIL'S AS PER OUR ENGR'S INSTRUCTI,NO, , ,                    , , ,0,0,3000,302H099,20022003,RP,5,3000,09/04/2002,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,03/04/2002,  
19202164,"SHAFT OF ROTOR ""ALFA"" PUMP REPARING",(MONOBLOCK PUMP) 2 HP X 2900 RPM -,MOTOR,FROM EN-8 /EN-9 MATERIAL  ALL-DETAIL'S AS PER OUR ENGR'S INSTRUCTI,NO, , ,                    , , ,0,0,1200,302H099,20012002,RP,74,1200,03/07/2001,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,25/06/2001,  
19202296,"STATOR OF ""GEC"" 82 WATT X 1400 RPM-","ELECT.MOTOR,SINGLE PHASE,""F"" CLASS-",INSULATION,TO BE REWINDING  ALL-DETAIL'S AS PER OUR ENGR'S INSTRUCTI,NO, , ,                    , , ,0,0,625,302S517,20022003,RP,116,625,31/07/2002,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,31/07/2002,  
19202297,"STATOR ""ALMONEND""0.5HPX1400RPM/160W-","OF ELECT.MOTOR,SINGLE PHASE,""F""CLASS",INSULATION,TO BE REWINDING  ALL-DETAIL'S AS PER OUR ENGR'S INSTRUCTI,NO, , ,                    , , ,0,0,750,302S517,20042005,RP,109,750,18/08/2004,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,18/08/2004,  
19202307,"STATOR OF MOTOR 125HPX1400RPM,""US""-","REWINDING,WT ""F"" CLASS INSULATION,",DULY-S1,SERVICE VOLTEGE:440V AC  ALL-DETAIL'S AS PER OUR ENGR'S INSTRUCTI,NO, , ,                    , , ,0,0,24150,302(E)093,20022003,RP,172,24150,24/10/2002,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,18/10/2002,  
19281009,REVOLVING SHAFT BEARING TYPE (THAS),"MADE FROM OUR M.S.2"" X 2"" X 1.1/2"" -",MATERIAL'S,FOR OUR MAIN GATE  ALL-DETAIL'S AS PER OUR ENGR'S INSTRUCTI,NO, , ,                    , , ,0,0,0,302C076,20002001,RP,116,350,18/10/2000,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,NULL,  
12008044,A METER SIZE:70 SQ.MM,CTR:30/5 A,CT OPERATED,AMP:0-50A,NO, , ,                    , ,S3301,0,0,288,302V085,20022003,ST,1500,288,30/12/2002,30/12/2002,0,0,0,0,0,0,0,0,0,0,A,20, ,31032004, ,NULL,0,0,25/12/2002,  
15201658,BAG STACKER {M-25}'VEEKAY'600mmWIDE,,11.5mCrs.FOR HANDLINGBAGS WEIGHINING,100KG'S EACH @600BAG'S PER HOUR WITH AN ADJ.MAX.DELIVERY HEIGHT OF 7600mm,NO, , ,                    , , ,0,0,254800,302S599,20032004,CP,212,245000,13/05/2004,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,22/01/2004,  
16403390,SAMPLE OF FINISHED PRODUCTS IN PROC.,FROM LIQ.GLU.,/DEXTROSE MONOHYDRATE,HIGH MALTOSE CORN SYRUP FOR MICRO ANALYSIS (150 PAGEX1) FOR MICRO DEPT,NO, , ,                    , , ,0,0,82.5,302A170,20122013,CO,13,82.5,20/11/2009,NULL,0,0,0,0,0,0,0,0,0,0,A,20, ,EDP, ,17:44.0,0,0,01/04/2012,  
16204056,"BOARD WOODEN 8"",FRAMING,WT 4 NO'S-",5 PIN PLUG & 4 NO'S 5 AMP PIANO TYPE,S/W WT 1 NO 'ANCHOR' 10 AMP FUSE ON-,FRAMING FACE WT 10AMP ANCHOR'FUSE,NO, , ,                    , , ,0,0,84,302N124,20032004,MS,136,84,31/07/2003,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,31/07/2003,  
16204379,STRIPS PVC DOOR 2.20H X 1.10W UNIT-1,200:3:50-200mmWIDE PVC STRIP,03mm-THK & 50mm OVERLAP FROM ONE SIDE,ANTI INSECT AMBER PVC,NO, , ,                    , , ,0,0,4398.9,302S539,20042005,MS,33,7998,18/05/2004,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,12/05/2004,  
16204381,STRIPS PVC DOOR 2.50H X 1.70W UNIT 1,200:3:50-200mmWIDE PVC STRIP,03mm-THK & 50mm OVERLAP FRON ONE SIDE,ANTI INSECT AMBER PVC,NO, , ,                    , , ,0,0,7725.3,302S539,20042005,MS,33,14046,18/05/2004,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,12/05/2004,  
16204383,STRIPS PVC DOOR 2.38H X 1.70W UNIT-1,200:3:50-200mmWIDE PVC STRIP,0.3mm-THK & 50mm OVERLAP FROM ONE SIDE ,ANTI INSECT AMBER PVC,NO, , ,                    , , ,0,0,7289.15,302S539,20042005,MS,33,13253,18/05/2004,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,12/05/2004,  
16204384,STRIPS PVC DOOR 2.15H X 0.95W UNIT-1,200:3:50-200mmWIDE PVC STRIP,03mm-THK & 50mm OVERLAP FROM ONE SIDE,ANTI INSECT AMBER PVC,NO, , ,                    , , ,0,0,3708.1,302S539,20042005,MS,33,6742,18/05/2004,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,12/05/2004,  
16204385,STRIPS PVC DOOR 2.85H X 3.20W UNIT-1,200:3:50-200mmWIDE PVC STRIP,03mm-THK & 50mm OVERLAP FROM ONE SIDE,ANTI INSECT AMBER PVC,NO, , ,                    , , ,0,0,16577.55,302S539,20042005,MS,33,30141,18/05/2004,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,12/05/2004,  
12306340,SHEET RUBBER (BLACK} 6'X3'X12mm,METEINS ISI:5424-1969,ANTI-SKID,CHEQUERED NON-SKID.ELECT./INSULATION,NO, , ,                    , , ,0,0,1890,302M151,20092010,ST,1933,1800,18/12/2009,18/12/2009,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,17/12/2009,  
16502015,WINDSOCK SIMLESS(NEW)CODE:180 DANDS,TO BE MADE FROM:NPU-5 STRONG & -,DURABLE NYLON NOR FLAT MATERIAL WT-,ANTICORROSIVE ANTIAGEING PU COATING,NO, , ,                    , , ,0,0,517.5,302M294,20102011,MS,97,450,10/12/2010,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,19/10/2010,  
16201249,PUMP DOSING CAP:24/LTR/HR,DIAPHRAGM-TYPE,PRESSURE:4 KG/CM2,APPLICATION:FOR DOSING OF H.C.L.30 %,NO, , ,                    , , ,0,0,0, , , ,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,NULL,  
16201250,PUMP DOSING CAP:2.88LTR/HR,DIAPHRAGM TYPE,PRESSURE 4 KG/CM2,APPLICATION:(1)ACIDIC ANTISCALENT ph:5 (2)SODIUM HYPOCHLORIDE(3)SODIUM BI-SULPHITE,NO, , ,                    , , ,0,0,0, , , ,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,NULL,  
15201388,PIPE SS 304Q.SEAMLESS 10mmODX05mmID-,W.P.:200KG/CM2,HYDRAULIC PRESSURE-,250KG/CM2 APPLICATION:HYDROGEN GAS-LINE & A'CLAVE NO:06,MR, , ,                    , , ,0,0,98,302C003,20032004,CP,24,98,30/04/2003,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,29/04/2003,  
19201531,SHAFT EN-19 OF CENT.M/C FOR,REFINERY DPT.,IT'S TEETH NEW PREPARE,&VERTICALTEETH REPARING & WORK-TEETH ARE TO BE HARDNED.,NO, , ,                    , , ,0,0,11300,302D168,20092010,RP,167,11300,18/12/2009,NULL,0,0,0,0,0,0,0,0,0,0,A,20, ,EDP, ,27:13.0,0,0,07/12/2009,  
19201203,REDUCER SS 316L TO BE REPLACED IN-,"OUR SS 4"" DIA PIPE WITH FITTED STUB-END",ALL WELDING JOINT'S ARE TO BE -ARGON WELDED,TESTED HYD.AT 10KG/CM2,NO, , ,                    , , ,0,0,2182.5,302S240,20012002,RP,71,2237.06,28/06/2001,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,19/06/2001,  
11808008,SEAT METTALIC EN-24,{INLET P/K} OF-ROTARY JOINT OF GERM DRYER  NO:03,FOR CARBON SEAL RING,AS DRG.OL-115 {SIZE:133X82X22mm},NO, , ,                    , ,S1503,0,0,2322,302S429,20042005,ST,1838,2322,18/12/2004,20/12/2004,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,18/12/2004,  
19201460,SUPPLY/INSTALLATION OF:PGN STOP-,STRIPS tm ON ION EXCHANGE AREA OF-,SORBITOL PLANT,ALL COMPLETE DETAIL'S AS ENGR'S INSTRUCTION'S & AS YR QUOT,NO, , ,                    , , ,0,0,0, , , ,0,27399,NULL,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,NULL,  
19201022,REMETALLISING  OF WHITE METAL BRG.,OF TURBINE SHAFT,BY METALLIZING WITH,MACHINING & FINISHING AS OUR ENGR'S INSTRUCTION'S COMPLETE.,NO, , ,                    , , ,0,0,0,302A337,20002001,RP,48,13300,28/07/2000,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,NULL,  
19201528,"VALVE GLOBE CONTROL 2""DIA,SERVICING-",WITH REPLACING DAMAGED COMPONENTS-,SR.NO:940886,ALL COMPLETE DETAIL'S-AS OUR ENGR'S INST.&AS PER YR QUOT.,NO, ,C 8481.80,CAPITAL             , , ,0,0,950,302D143,20072008,RP,73,950,14/07/2007,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,04/07/2007,  
19202143,"ACB OF D.G.SET ""L&T"" TO BE SERVICING","CN-CS TYPE 1,600 AMP,""A"" TRANSFORMER",OUTPUT SIDE CONNECTION TO MADE CLEAN,& REFIX IT AS OUR ENGR'S INSTRUCTION,NO, , ,                    , , ,0,0,0,302L013,20082009,RP,195,2500,NULL,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,20/12/2008,  
16201474,"FLANGE M.S.11.1/4""DIA AS PER DRG.290",FOR SUBMERSIBLE PUMP NEW PREPARE-,& MACHINING COMPLETE,ALL DETAIL'S-AS OUR ENGR'S INSTRUCTION'S.,NO, , ,                    , , ,0,0,780,302C076,20012002,MS,303,780,30/03/2002,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,30/03/2002,  
15202007,CONTROL PANEL 15 H.P.AC DRIVE WITH,RITTAL IP 65 ENCLOSER MODEL:PS4685,& REMOTE BOX,ALL OTHER TECH.DETAIL'S AS PER ANNEXURE ATTACHED HEREWITH,NO, , ,                    , , ,0,0,0,302J067,20002001,CP,42,64622.63,13/03/2001,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,NULL,  
15202334,100HP VFD  DRIVE,3-PH  440V AC, 150% O/L FOR 1 MIN.,AS PER ATTACHED ANNEXTURE,NO, , ,                    , , ,0,0,208467,302H100,20102011,CP,501,180000,25/03/2011,NULL,0,0,0,0,0,0,0,0,0,0,A,20, ,STORE, ,40:19.0,0,0,29/11/2010,  
15205076,FABRICATED PANEL COVER 2320X600X100,SIZE FROM 14SWG CRSHEET,LIGHT GREY,EPOXY PAINTED SUPPLY & INSTALLATION AS PER ATTACHED DRAWING,NO, , ,                    , , ,0,0,2835.88,302A423,20052006,CP,314,2300,29/03/2006,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,38:28.0,0,0,22/03/2006,  
11233005,"TEE CI 8"" X  8"" X  8""",WITH FLANGED ENDS, F TO F,"LENGTH 22"", FLANGE HOLE DRILLING AS PER BS-10, TABLE : ""D""",NO, , ,                    , , ,0,0,6825,302S240,20112012,ST,354,6500,19/08/2011,20/08/2011,1,593.4782609,0,0,2,13650,2,13650,0,0,A,20, , , ,NULL,0,0,16/06/2011,  
15203135,P & L REINFORCEMENT STEEL(TNT) OF,APPROVED MAKE(ISI) INCL CUTTING ,BINDING, PLACING IN POSITION  AS PER DRAWING & SPECIFY,MT, , ,                    , , ,0,0,0,302B237,20102011,CP,650,46075,NULL,NULL,0,0,0,0,0,0,0,0,0,0,A,20, ,EDP, ,06:19.0,0,0,05/01/2011,  
11281289,FLANGE 4.1/2 SQ. INCH X 25mmTHREDE,{HYLAM FITTINGS FOR ACID TANK LEVAL-,INDICATOR AS PER DRG.NO:GR:521},(M.O.C: HYLEM SHEET 25mm THICK),NO, , ,                    , ,S7001,0,0,840,302S240,20102011,ST,1177,800,07/10/2010,07/10/2010,0,0,0,0,0,0,0,0,0,0,A,20, ,STORE, ,48:41.0,0,0,04/10/2010,  
19202289,STATOR OF 0.25HPX1400RPM MOTOR-,"TO BE REWINDING,SINGLE PHASE,WT ""F""-",CLASS INSULATION,ALL TECH.DETAIL'S-AS PER ELECT.ENGR'S INSTRUCTION'S,NO, , ,                    , , ,0,0,725,302S517,20022003,RP,107,725,25/07/2002,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,25/07/2002,  
15283587,"VIBRO SCREEN MODEL VS 1200C 48""",SS 304 DOUBLE DECK DUST COVER,,ETA MAKE WITH DETAILED SPECIFICATION AS PER ELECT.ENGR'S INSTRUCTION'S,NO, , ,                    , , ,0,0,162645.95,302(E)105,20102011,CP,737,140436,23/02/2011,NULL,0,0,0,0,0,0,0,0,0,0,A,0, ,EDP, ,46:46.0,0,0,18/01/2011,  
15281023,30mm THICK GRIT CARPET ,P / L 30mm THK,GRIT CARPET WITH,BITUMEN 28.35 KG/10SM WITH ROLLING AS PER ELECT.ENGR'S INSTRUCTION'S,SM, , ,                    , , ,0,0,0, , , ,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,A,20, ,EDP, ,53:25.0,0,0,NULL,  
12203005,CARPETING ,P / L 38MM THICK, COMPECTED PREMIX,BITUMEN CARPET WITH ROLLING AS PER ELECT.ENGR'S INSTRUCTION'S,SM, , ,                    , , ,0,0,0, , , ,0,194.25,NULL,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,21:15.0,0,0,NULL,  
12203006,SEAL COAT,P / L 20MM THICK SEAL COAT WITH ,BITUMEN 16.10 KG/10 SM,WITH ROLLING AS PER ELECT.ENGR'S INSTRUCTION'S,SM, , ,                    , , ,0,0,0, , , ,0,111,NULL,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,22:55.0,0,0,NULL,  
